Finger,Type,Pressure,Size,X,Y,Orientation,Major,Minor
Thumb,0,0.7,0.40000004,173.0,1251.0,0.0,187.09549,187.09549
Thumb,2,0.7,0.40000004,184.0,1248.0,0.0,187.09549,187.09549
Thumb,2,0.7,0.40000004,223.0,1241.0,0.0,187.09549,187.09549
Thumb,2,0.6875,0.40000004,289.0,1229.0,0.0,187.09549,187.09549
Thumb,2,0.675,0.33333334,388.0,1218.0,0.0,155.0587,155.0587
Thumb,2,0.6625,0.33333334,510.0,1207.0,0.0,155.0587,155.0587
Thumb,2,0.6625,0.33333334,588.0,1202.0,0.0,155.0587,155.0587
Thumb,2,0.65000004,0.33333334,642.0,1202.0,0.0,155.0587,155.0587
Thumb,2,0.6375,0.33333334,685.0,1204.0,0.0,155.0587,155.0587
Thumb,1,0.6375,0.33333334,685.0,1204.0,0.0,155.0587,155.0587
Thumb,0,0.7,0.40000004,185.0,1312.0,0.0,187.09549,187.09549
Thumb,2,0.7,0.40000004,187.0,1309.0,0.0,187.09549,187.09549
Thumb,2,0.6875,0.40000004,212.0,1301.0,0.0,187.09549,187.09549
Thumb,2,0.675,0.33333334,274.0,1290.0,0.0,155.0587,155.0587
Thumb,2,0.675,0.33333334,367.0,1277.0,0.0,155.0587,155.0587
Thumb,2,0.6625,0.33333334,469.0,1263.0,0.0,155.0587,155.0587
Thumb,2,0.6625,0.33333334,548.0,1249.0,0.0,155.0587,155.0587
Thumb,2,0.6625,0.33333334,599.0,1240.0,0.0,155.0587,155.0587
Thumb,2,0.6625,0.33333334,643.0,1234.0,0.0,155.0587,155.0587
Thumb,2,0.65000004,0.33333334,679.0,1232.0,0.0,155.0587,155.0587
Thumb,1,0.65000004,0.33333334,679.0,1232.0,0.0,155.0587,155.0587
Thumb,0,0.75,0.4666667,197.0,1303.0,0.0,219.1323,219.1323
Thumb,2,0.75,0.4666667,197.0,1302.0,0.0,219.1323,219.1323
Thumb,2,0.7375,0.4666667,205.0,1297.0,0.0,219.1323,219.1323
Thumb,2,0.725,0.40000004,235.0,1288.0,0.0,187.09549,187.09549
Thumb,2,0.7,0.40000004,295.0,1275.0,0.0,187.09549,187.09549
Thumb,2,0.6875,0.40000004,376.0,1261.0,0.0,187.09549,187.09549
Thumb,2,0.6875,0.40000004,465.0,1250.0,0.0,187.09549,187.09549
Thumb,2,0.675,0.40000004,541.0,1242.0,0.0,187.09549,187.09549
Thumb,2,0.675,0.40000004,602.0,1237.0,0.0,187.09549,187.09549
Thumb,2,0.675,0.40000004,654.0,1232.0,0.0,187.09549,187.09549
Thumb,1,0.675,0.40000004,654.0,1232.0,0.0,187.09549,187.09549
Thumb,0,0.71250004,0.4666667,249.0,1275.0,0.0,219.1323,219.1323
Thumb,2,0.71250004,0.40000004,251.0,1273.0,0.0,187.09549,187.09549
Thumb,2,0.71250004,0.40000004,269.0,1267.0,0.0,187.09549,187.09549
Thumb,2,0.6875,0.40000004,312.0,1257.0,0.0,187.09549,187.09549
Thumb,2,0.6875,0.40000004,385.0,1243.0,0.0,187.09549,187.09549
Thumb,2,0.675,0.40000004,483.0,1230.0,0.0,187.09549,187.09549
Thumb,2,0.675,0.40000004,570.0,1219.0,0.0,187.09549,187.09549
Thumb,2,0.6625,0.40000004,627.0,1210.0,0.0,187.09549,187.09549
Thumb,2,0.6625,0.40000004,648.0,1206.0,0.0,187.09549,187.09549
Thumb,1,0.6625,0.40000004,648.0,1206.0,0.0,187.09549,187.09549
Thumb,0,0.7375,0.4666667,209.0,1308.0,0.0,219.1323,219.1323
Thumb,2,0.7375,0.4666667,211.0,1305.0,0.0,219.1323,219.1323
Thumb,2,0.7375,0.40000004,227.0,1299.0,0.0,187.09549,187.09549
Thumb,2,0.725,0.40000004,259.0,1288.0,0.0,187.09549,187.09549
Thumb,2,0.71250004,0.40000004,308.0,1275.0,0.0,187.09549,187.09549
Thumb,2,0.7,0.40000004,378.0,1263.0,0.0,187.09549,187.09549
Thumb,2,0.6875,0.40000004,464.0,1254.0,0.0,187.09549,187.09549
Thumb,2,0.6875,0.40000004,535.0,1247.0,0.0,187.09549,187.09549
Thumb,2,0.6875,0.40000004,583.0,1243.0,0.0,187.09549,187.09549
Thumb,2,0.6875,0.40000004,624.0,1241.0,0.0,187.09549,187.09549
Thumb,2,0.675,0.40000004,662.0,1236.0,0.0,187.09549,187.09549
Thumb,2,0.6625,0.33333334,680.0,1232.0,0.0,155.0587,155.0587
Thumb,1,0.6625,0.33333334,680.0,1232.0,0.0,155.0587,155.0587
Thumb,0,0.725,0.40000004,207.0,1343.0,0.0,187.09549,187.09549
Thumb,2,0.725,0.40000004,211.0,1340.0,0.0,187.09549,187.09549
Thumb,2,0.71250004,0.40000004,243.0,1327.0,0.0,187.09549,187.09549
Thumb,2,0.7,0.40000004,308.0,1309.0,0.0,187.09549,187.09549
Thumb,2,0.6875,0.40000004,397.0,1297.0,0.0,187.09549,187.09549
Thumb,2,0.6875,0.40000004,483.0,1290.0,0.0,187.09549,187.09549
Thumb,2,0.6875,0.40000004,541.0,1284.0,0.0,187.09549,187.09549
Thumb,2,0.675,0.40000004,585.0,1282.0,0.0,187.09549,187.09549
Thumb,2,0.675,0.40000004,628.0,1280.0,0.0,187.09549,187.09549
Thumb,2,0.675,0.40000004,650.0,1279.0,0.0,187.09549,187.09549
Thumb,1,0.675,0.40000004,650.0,1279.0,0.0,187.09549,187.09549
Thumb,0,0.65000004,0.33333334,781.0,1053.0,0.0,155.0587,155.0587
Thumb,2,0.65000004,0.33333334,771.0,1051.0,0.0,155.0587,155.0587
Thumb,2,0.65000004,0.33333334,760.0,1049.0,0.0,155.0587,155.0587
Thumb,2,0.6375,0.33333334,678.0,1039.0,0.0,155.0587,155.0587
Thumb,2,0.6375,0.33333334,633.0,1034.0,0.0,155.0587,155.0587
Thumb,2,0.625,0.33333334,577.0,1026.0,0.0,155.0587,155.0587
Thumb,2,0.625,0.33333334,518.0,1016.0,0.0,155.0587,155.0587
Thumb,2,0.625,0.33333334,404.0,998.0,0.0,155.0587,155.0587
Thumb,2,0.625,0.33333334,316.0,987.0,0.0,155.0587,155.0587
Thumb,2,0.6125,0.33333334,262.0,982.0,0.0,155.0587,155.0587
Thumb,2,0.6125,0.33333334,231.0,980.0,0.0,155.0587,155.0587
Thumb,1,0.6125,0.33333334,231.0,980.0,0.0,155.0587,155.0587
Thumb,0,0.675,0.40000004,798.0,1072.0,0.0,187.09549,187.09549
Thumb,2,0.675,0.40000004,796.0,1071.0,0.0,187.09549,187.09549
Thumb,2,0.6625,0.33333334,766.0,1060.0,0.0,155.0587,155.0587
Thumb,2,0.6375,0.33333334,681.0,1037.0,0.0,155.0587,155.0587
Thumb,2,0.6375,0.33333334,565.0,1015.0,0.0,155.0587,155.0587
Thumb,2,0.625,0.33333334,439.0,996.0,0.0,155.0587,155.0587
Thumb,2,0.625,0.33333334,335.0,983.0,0.0,155.0587,155.0587
Thumb,2,0.6125,0.33333334,276.0,980.0,0.0,155.0587,155.0587
Thumb,2,0.6125,0.33333334,240.0,981.0,0.0,155.0587,155.0587
Thumb,1,0.6125,0.33333334,240.0,981.0,0.0,155.0587,155.0587
Thumb,0,0.675,0.40000004,837.0,1132.0,0.0,187.09549,187.09549
