Finger,Type,Pressure,Size,X,Y,Orientation,Major,Minor
Thumb,0,0.85,0.39285716,654.0,961.0,0.0,146.579,146.579
Thumb,2,0.85,0.4107143,640.4009,994.4725,0.0,159.232,159.232
Thumb,2,0.85,0.39285716,619.8303,1071.5247,0.0,159.232,159.232
Thumb,2,0.825,0.37500003,596.30396,1175.9026,0.0,146.579,146.579
Thumb,2,0.8,0.35714287,564.2385,1306.5726,0.0,146.579,146.579
Thumb,2,0.75,0.3214286,540.6848,1446.2449,0.0,133.926,133.926
Thumb,2,0.7375,0.3214286,533.0,1594.2603,0.0,133.926,133.926
Thumb,2,0.725,0.30357143,542.6763,1709.3374,0.0,121.272995,121.272995
Thumb,2,0.71250004,0.30357143,560.04156,1760.4634,0.0,121.272995,121.272995
Thumb,2,0.5125,0.26785716,567.0,1775.0,0.0,108.619995,108.619995
Thumb,1,0.5125,0.26785716,567.0,1775.0,0.0,108.619995,108.619995
Thumb,0,0.83750004,0.39285716,827.0,878.0,0.0,146.579,146.579
Thumb,2,0.83750004,0.39285716,808.9142,889.3593,0.0,146.579,146.579
Thumb,2,0.825,0.37500003,769.92,935.179,0.0,146.579,146.579
Thumb,2,0.8,0.33928573,733.51807,1016.3494,0.0,133.926,133.926
Thumb,2,0.77500004,0.33928573,694.1907,1122.0015,0.0,133.926,133.926
Thumb,2,0.7625,0.33928573,654.706,1264.7831,0.0,133.926,133.926
Thumb,2,0.75,0.30357143,615.1083,1427.5415,0.0,121.272995,121.272995
Thumb,2,0.725,0.30357143,593.7164,1615.3748,0.0,121.272995,121.272995
Thumb,2,0.7,0.2857143,593.41,1733.4292,0.0,108.619995,108.619995
Thumb,2,0.65000004,0.2857143,597.42285,1768.6913,0.0,108.619995,108.619995
Thumb,2,0.52500004,0.2857143,598.0,1771.0,0.0,108.619995,108.619995
Thumb,1,0.52500004,0.2857143,598.0,1771.0,0.0,108.619995,108.619995
Thumb,0,0.85,0.39285716,687.0,948.0,0.0,146.579,146.579
Thumb,2,0.825,0.37500003,666.80176,988.19604,0.0,146.579,146.579
Thumb,2,0.7875,0.33928573,638.56067,1086.3975,0.0,133.926,133.926
Thumb,2,0.7875,0.33928573,616.1665,1215.5162,0.0,133.926,133.926
Thumb,2,0.7625,0.3214286,591.8992,1369.4308,0.0,133.926,133.926
Thumb,2,0.7375,0.30357143,571.1616,1519.4728,0.0,121.272995,121.272995
Thumb,2,0.725,0.30357143,568.57074,1644.6709,0.0,121.272995,121.272995
Thumb,2,0.71250004,0.2857143,576.93567,1735.8083,0.0,108.619995,108.619995
Thumb,2,0.6875,0.2857143,584.52594,1753.4333,0.0,108.619995,108.619995
Thumb,2,0.52500004,0.2857143,588.4518,1763.3552,0.0,108.619995,108.619995
Thumb,1,0.52500004,0.2857143,588.4518,1763.3552,0.0,108.619995,108.619995
