Finger,Type,Pressure,Size,X,Y,Orientation,Major,Minor
Thumb,2,0.625,0.33333334,666.0,1068.0,0.0,155.0587,155.0587
Thumb,2,0.6125,0.33333334,636.0,1131.0,0.0,155.0587,155.0587
Thumb,2,0.6125,0.26666668,609.0,1214.0,0.0,123.021904,123.021904
Thumb,2,0.6125,0.26666668,585.0,1311.0,0.0,123.021904,123.021904
Thumb,2,0.6,0.26666668,564.0,1424.0,0.0,123.021904,123.021904
Thumb,2,0.6,0.26666668,548.0,1551.0,0.0,123.021904,123.021904
Thumb,2,0.6,0.26666668,540.0,1649.0,0.0,123.021904,123.021904
Thumb,2,0.58750004,0.26666668,536.0,1708.0,0.0,123.021904,123.021904
Thumb,1,0.58750004,0.26666668,536.0,1708.0,0.0,123.021904,123.021904
Thumb,0,0.7,0.40000004,764.0,957.0,0.0,187.09549,187.09549
Thumb,2,0.6875,0.40000004,761.0,958.0,0.0,187.09549,187.09549
Thumb,2,0.675,0.33333334,747.0,971.0,0.0,155.0587,155.0587
Thumb,2,0.6625,0.33333334,709.0,1020.0,0.0,155.0587,155.0587
Thumb,2,0.65000004,0.33333334,660.0,1100.0,0.0,155.0587,155.0587
Thumb,2,0.65000004,0.33333334,618.0,1183.0,0.0,155.0587,155.0587
Thumb,2,0.6375,0.33333334,588.0,1266.0,0.0,155.0587,155.0587
Thumb,2,0.6375,0.33333334,568.0,1349.0,0.0,155.0587,155.0587
Thumb,2,0.6375,0.33333334,554.0,1429.0,0.0,155.0587,155.0587
Thumb,2,0.6375,0.33333334,536.0,1527.0,0.0,155.0587,155.0587
Thumb,2,0.625,0.33333334,516.0,1612.0,0.0,155.0587,155.0587
Thumb,2,0.625,0.33333334,504.0,1659.0,0.0,155.0587,155.0587
Thumb,2,0.625,0.33333334,500.0,1672.0,0.0,155.0587,155.0587
Thumb,1,0.625,0.33333334,500.0,1672.0,0.0,155.0587,155.0587
Thumb,0,0.65000004,0.33333334,693.0,1061.0,0.0,155.0587,155.0587
Thumb,2,0.65000004,0.33333334,690.0,1063.0,0.0,155.0587,155.0587
Thumb,2,0.65000004,0.33333334,678.0,1085.0,0.0,155.0587,155.0587
Thumb,2,0.6375,0.33333334,661.0,1134.0,0.0,155.0587,155.0587
Thumb,2,0.625,0.33333334,639.0,1206.0,0.0,155.0587,155.0587
Thumb,2,0.625,0.33333334,617.0,1293.0,0.0,155.0587,155.0587
Thumb,2,0.6125,0.33333334,596.0,1385.0,0.0,155.0587,155.0587
Thumb,2,0.6125,0.33333334,576.0,1497.0,0.0,155.0587,155.0587
Thumb,2,0.6125,0.33333334,564.0,1598.0,0.0,155.0587,155.0587
Thumb,2,0.6,0.33333334,562.0,1672.0,0.0,155.0587,155.0587
Thumb,2,0.575,0.33333334,563.0,1714.0,0.0,155.0587,155.0587
Thumb,1,0.575,0.33333334,563.0,1714.0,0.0,155.0587,155.0587
Thumb,0,0.6875,0.40000004,734.0,976.0,0.0,187.09549,187.09549
Thumb,2,0.6875,0.40000004,733.0,976.0,0.0,187.09549,187.09549
Thumb,2,0.675,0.40000004,727.0,979.0,0.0,187.09549,187.09549
Thumb,2,0.675,0.40000004,708.0,1000.0,0.0,187.09549,187.09549
Thumb,2,0.6625,0.33333334,676.0,1046.0,0.0,155.0587,155.0587
Thumb,2,0.65000004,0.33333334,638.0,1112.0,0.0,155.0587,155.0587
Thumb,2,0.65000004,0.33333334,605.0,1184.0,0.0,155.0587,155.0587
Thumb,2,0.65000004,0.33333334,580.0,1255.0,0.0,155.0587,155.0587
Thumb,2,0.65000004,0.33333334,562.0,1323.0,0.0,155.0587,155.0587
Thumb,2,0.6375,0.33333334,546.0,1390.0,0.0,155.0587,155.0587
Thumb,2,0.6375,0.33333334,529.0,1462.0,0.0,155.0587,155.0587
Thumb,2,0.6375,0.33333334,506.0,1542.0,0.0,155.0587,155.0587
Thumb,2,0.625,0.33333334,490.0,1584.0,0.0,155.0587,155.0587
Thumb,2,0.625,0.33333334,486.0,1593.0,0.0,155.0587,155.0587
Thumb,1,0.625,0.33333334,486.0,1593.0,0.0,155.0587,155.0587
Thumb,0,0.6625,0.40000004,689.0,1001.0,0.0,187.09549,187.09549
Thumb,2,0.6625,0.40000004,688.0,1001.0,0.0,187.09549,187.09549
