Finger,Type,Pressure,Size,X,Y,Orientation,Major,Minor
Thumb,2,0.77500004,0.35714287,348.5963,850.536,0.0,133.926,133.926
Thumb,2,0.7875,0.37500003,393.7149,937.7748,0.0,146.579,146.579
Thumb,2,0.7875,0.37500003,431.74973,1042.3743,0.0,146.579,146.579
Thumb,2,0.77500004,0.35714287,467.40628,1145.8268,0.0,146.579,146.579
Thumb,2,0.75,0.33928573,487.98776,1243.0607,0.0,133.926,133.926
Thumb,2,0.7375,0.3214286,499.29663,1319.6172,0.0,133.926,133.926
Thumb,2,0.725,0.30357143,500.58575,1369.871,0.0,121.272995,121.272995
Thumb,2,0.71250004,0.30357143,498.5602,1401.199,0.0,121.272995,121.272995
Thumb,2,0.5625,0.2857143,497.0,1406.4263,0.0,121.272995,121.272995
Thumb,2,0.4375,0.25,497.0,1407.0,0.0,108.619995,108.619995
Thumb,1,0.4375,0.25,497.0,1407.0,0.0,108.619995,108.619995
Thumb,0,0.77500004,0.35714287,474.0,907.0,0.0,133.926,133.926
Thumb,2,0.7875,0.35714287,533.85144,1005.9121,0.0,133.926,133.926
Thumb,2,0.8,0.35714287,565.5,1101.0,0.0,133.926,133.926
Thumb,2,0.7875,0.33928573,585.18896,1180.7601,0.0,133.926,133.926
Thumb,2,0.7875,0.33928573,597.219,1252.8151,0.0,133.926,133.926
Thumb,2,0.77500004,0.33928573,600.4707,1311.238,0.0,133.926,133.926
Thumb,2,0.7625,0.33928573,599.54443,1347.2892,0.0,133.926,133.926
Thumb,2,0.75,0.33928573,597.6473,1371.88,0.0,133.926,133.926
Thumb,2,0.725,0.30357143,597.0,1388.2678,0.0,121.272995,121.272995
Thumb,2,0.5375,0.26785716,597.0,1390.0,0.0,108.619995,108.619995
Thumb,1,0.5375,0.26785716,597.0,1390.0,0.0,108.619995,108.619995
Thumb,0,0.8,0.37500003,720.0,1077.0,0.0,146.579,146.579
Thumb,2,0.7875,0.37500003,668.42145,1074.6605,0.0,146.579,146.579
Thumb,2,0.77500004,0.33928573,595.2198,1077.4886,0.0,133.926,133.926
Thumb,2,0.7375,0.33928573,502.27,1084.6259,0.0,133.926,133.926
Thumb,2,0.725,0.3214286,407.63782,1093.2272,0.0,121.272995,121.272995
Thumb,2,0.7,0.3214286,330.84747,1099.0,0.0,121.272995,121.272995
Thumb,2,0.6375,0.30357143,280.0,1098.0,0.0,121.272995,121.272995
Thumb,1,0.6375,0.30357143,280.0,1098.0,0.0,121.272995,121.272995
Thumb,0,0.7375,0.33928573,672.0,1089.0,0.0,133.926,133.926
Thumb,2,0.7375,0.33928573,661.0,1089.0,0.0,133.926,133.926
Thumb,2,0.75,0.33928573,641.9958,1090.0,0.0,133.926,133.926
Thumb,2,0.75,0.33928573,628.628,1091.0,0.0,133.926,133.926
Thumb,2,0.75,0.33928573,618.813,1091.0,0.0,133.926,133.926
Thumb,2,0.71250004,0.33928573,598.6934,1087.061,0.0,133.926,133.926
Thumb,2,0.6375,0.30357143,589.0,1084.0,0.0,121.272995,121.272995
Thumb,1,0.6375,0.30357143,589.0,1084.0,0.0,121.272995,121.272995
Thumb,0,0.75,0.35714287,463.0,968.0,0.0,133.926,133.926
Thumb,2,0.75,0.33928573,463.0,970.1913,0.0,133.926,133.926
Thumb,2,0.7,0.30357143,462.58447,972.4155,0.0,121.272995,121.272995
Thumb,2,0.45000002,0.26785716,461.0,973.0,0.0,108.619995,108.619995
Thumb,1,0.45000002,0.26785716,461.0,973.0,0.0,108.619995,108.619995
Thumb,0,0.7375,0.3214286,471.0,978.0,0.0,121.272995,121.272995
Thumb,2,0.675,0.2857143,471.0,979.0,0.0,121.272995,121.272995
Thumb,1,0.675,0.2857143,471.0,979.0,0.0,121.272995,121.272995
Thumb,0,0.71250004,0.30357143,491.0,988.0,0.0,121.272995,121.272995
Thumb,2,0.625,0.26785716,491.0,989.0,0.0,108.619995,108.619995
Thumb,1,0.625,0.26785716,491.0,989.0,0.0,108.619995,108.619995
Thumb,0,0.75,0.33928573,505.0,1005.0,0.0,133.926,133.926
Thumb,1,0.75,0.33928573,505.0,1005.0,0.0,133.926,133.926
Thumb,0,0.7375,0.3214286,493.0,999.0,0.0,133.926,133.926
Thumb,1,0.7375,0.3214286,493.0,999.0,0.0,133.926,133.926
Thumb,0,0.7875,0.35714287,328.0,825.0,0.0,133.926,133.926
Thumb,2,0.7875,0.35714287,345.9553,876.20667,0.0,133.926,133.926
Thumb,2,0.77500004,0.35714287,372.08038,948.966,0.0,133.926,133.926
Thumb,2,0.7625,0.33928573,402.08133,1038.1416,0.0,133.926,133.926
Thumb,2,0.75,0.33928573,424.53802,1120.8832,0.0,133.926,133.926
Thumb,2,0.71250004,0.30357143,440.42908,1181.2172,0.0,121.272995,121.272995
Thumb,2,0.6875,0.30357143,447.24036,1228.5095,0.0,121.272995,121.272995
Thumb,2,0.5375,0.2857143,446.0,1223.0,0.0,121.272995,121.272995
Thumb,1,0.5375,0.2857143,446.0,1223.0,0.0,121.272995,121.272995
Thumb,0,0.825,0.39285716,358.0,806.0,0.0,146.579,146.579
Thumb,2,0.825,0.37500003,362.43582,817.30743,0.0,146.579,146.579
Thumb,2,0.8125,0.37500003,376.77216,872.8806,0.0,146.579,146.579
Thumb,2,0.7875,0.35714287,395.0,967.5,0.0,133.926,133.926
Thumb,2,0.7625,0.33928573,416.13022,1068.0687,0.0,133.926,133.926
Thumb,2,0.7375,0.33928573,451.97116,1190.8502,0.0,133.926,133.926
Thumb,2,0.725,0.30357143,468.72974,1295.3108,0.0,121.272995,121.272995
Thumb,2,0.71250004,0.30357143,472.5,1348.5,0.0,121.272995,121.272995
Thumb,2,0.7,0.30357143,470.53845,1388.3846,0.0,121.272995,121.272995
