Finger,Type,Pressure,Size,X,Y,Orientation,Major,Minor
Thumb,2,0.6875,0.2857143,798.0,1188.0,0.0,108.619995,108.619995
Thumb,1,0.6875,0.2857143,798.0,1188.0,0.0,108.619995,108.619995
Thumb,0,0.9875,0.46428573,251.0,1268.0,0.0,171.885,171.885
Thumb,2,0.95,0.42857146,286.81204,1249.6902,0.0,159.232,159.232
Thumb,2,0.925,0.39285716,398.97394,1208.342,0.0,146.579,146.579
Thumb,2,0.8875,0.37500003,508.54315,1190.4548,0.0,146.579,146.579
Thumb,2,0.875,0.35714287,600.89606,1175.2069,0.0,133.926,133.926
Thumb,2,0.8625,0.35714287,666.40375,1174.0,0.0,133.926,133.926
Thumb,2,0.8625,0.33928573,718.28546,1175.4341,0.0,133.926,133.926
Thumb,2,0.8625,0.33928573,747.704,1181.3802,0.0,133.926,133.926
Thumb,2,0.85,0.3214286,770.6878,1185.8195,0.0,121.272995,121.272995
Thumb,2,0.8125,0.30357143,785.7753,1188.3965,0.0,121.272995,121.272995
Thumb,2,0.5625,0.26785716,788.0,1191.0,0.0,108.619995,108.619995
Thumb,1,0.5625,0.26785716,788.0,1191.0,0.0,108.619995,108.619995
Thumb,0,0.925,0.42857146,399.0,1181.0,0.0,159.232,159.232
Thumb,2,0.90000004,0.4107143,413.8848,1176.42,0.0,159.232,159.232
Thumb,2,0.8875,0.39285716,468.57452,1164.6182,0.0,146.579,146.579
Thumb,2,0.8875,0.39285716,534.2268,1152.6289,0.0,146.579,146.579
Thumb,2,0.8625,0.35714287,602.6809,1152.558,0.0,133.926,133.926
Thumb,2,0.85,0.35714287,667.7106,1151.5715,0.0,133.926,133.926
Thumb,2,0.83750004,0.33928573,724.3398,1151.0,0.0,133.926,133.926
Thumb,2,0.83750004,0.33928573,756.32135,1152.3951,0.0,133.926,133.926
Thumb,2,0.8125,0.33928573,780.59283,1155.0,0.0,133.926,133.926
Thumb,2,0.8,0.33928573,799.873,1158.0,0.0,133.926,133.926
Thumb,2,0.65000004,0.30357143,809.0,1158.0,0.0,121.272995,121.272995
Thumb,1,0.65000004,0.30357143,809.0,1158.0,0.0,121.272995,121.272995
Thumb,0,0.925,0.42857146,263.0,1297.0,0.0,159.232,159.232
Thumb,2,0.9375,0.42857146,266.25815,1294.1613,0.0,159.232,159.232
Thumb,2,0.9375,0.46428573,287.41666,1280.8975,0.0,171.885,171.885
Thumb,2,0.9375,0.42857146,333.8613,1267.133,0.0,159.232,159.232
Thumb,2,0.9125,0.39285716,408.36084,1250.5313,0.0,146.579,146.579
Thumb,2,0.875,0.37500003,500.0044,1236.3494,0.0,146.579,146.579
